HPI,ISO,year
51.1,BRA,2015
44.1,DEU,2015
43.9,VNM,2015
44.1,AUT,2015
44.3,MAR,2015
51.2,ECU,2015
0,JAM,2015
48.6,ARG,2015
43.3,NZL,2015
47.9,MEX,2015
40.5,UZB,2015
38.4,ARM,2015
38.2,HUN,2015
56,COL,2015
41.6,CHE,2015
39.5,JPN,2015
40.8,BTN,2015
39.1,CHN,2015
39.2,MKD,2015
37.3,KGZ,2015
41.7,TWN,2015
35.9,LTU,2015
39.3,SVK,2015
44.6,LKA,2015
38.8,ISL,2015
40.7,POL,2015
40.5,IDN,2015
40.8,MUS,2015
42.6,URY,2015
33.8,BHR,2015
37.8,BIH,2015
37.2,SEN,2015
35.2,AUS,2015
39.5,MLT,2015
42.9,BGD,2015
40.2,MYS,2015
39.5,LVA,2015
41.3,LBY,2015
36.8,BEL,2015
41,BLR,2015
45.6,TUN,2015
31.8,EST,2015
35.6,KOR,2015
35.4,BGR,2015
40.1,NPL,2015
36.8,CAN,2015
33.1,GEO,2015
31.7,CYP,2015
29.9,UKR,2015
35.1,KHM,2015
34.1,MNE,2015
33.7,COG,2015
32.3,SRB,2015
29.6,GAB,2015
35.6,AZE,2015
37,ETH,2015
38.3,PRY,2015
42.1,TUR,2015
37.3,PAK,2015
29.8,IRQ,2015
33.3,CMR,2015
27.8,MOZ,2015
29.2,GHA,2015
45.1,JOR,2015
36.3,VEN,2015
28.7,MRT,2015
27.7,CIV,2015
38.1,EGY,2015
30.8,USA,2015
38.5,BOL,2015
32.1,MMR,2015
20.6,GIN,2015
29.4,UGA,2015
30.6,KEN,2015
25.1,NER,2015
28.4,SGP,2015
0,LAO,2015
27.4,MDG,2015
26.5,KAZ,2015
26.9,ZAF,2015
25.6,SAU,2015
30.9,IRN,2015
22.6,BEN,2015
27.4,BFA,2015
27.3,TZA,2015
16.9,LBR,2015
28.4,RWA,2015
37,IND,2015
32.6,RUS,2015
26.1,HTI,2015
27.7,MWI,2015
23.4,YEM,2015
23.7,ARE,2015
22.7,TGO,2015
24.8,HKG,2015
26.1,TKM,2015
25,COD,2015
0,TTO,2015
21.3,LUX,2015
30.6,SLE,2015
23.5,KWT,2015
25.4,MLI,2015
0,NAM,2015
23.8,NGA,2015
25.9,MNG,2015
24.1,ZWE,2015
45.7,LBN,2015
31.9,ZMB,2015
18.5,QAT,2015
17.1,TCD,2015
29.4,AFG,2015
0,LSO,2015
17.3,BWA,2015
0,CAF,2015
18.9,BDI,2014
32.5,SDN,2014
51.5,VUT,2014
52.1,SWE,2014
51.4,SLV,2014
63.5,CRI,2014
54.6,NIC,2014
47.6,DNK,2014
51.2,ESP,2014
54,PAN,2014
48.7,FRA,2014
55,CHL,2014
42.5,PRT,2014
52,MDA,2014
45.2,HND,2014
48.2,NLD,2014
47.7,NOR,2014
57.5,GTM,2014
43,FIN,2014
45.6,ITA,2014
44.9,GBR,2014
44.4,ROU,2014
46.9,PHL,2014
46.6,ISR,2014
36.8,GRC,2014
39.9,SVN,2014
42.8,HRV,2014
56.8,THA,2014
41.8,TJK,2014
44.2,IRL,2014
56.5,DZA,2014
44,DOM,2014
51.8,PER,2014
43.7,CZE,2014
45.4,ALB,2014
53.6,BRA,2014
43.9,DEU,2014
44.3,VNM,2014
43.6,AUT,2014
43.9,MAR,2014
50.4,ECU,2014
42.3,JAM,2014
48.8,ARG,2014
42.3,NZL,2014
50.9,MEX,2014
40.7,UZB,2014
38.7,ARM,2014
37.8,HUN,2014
56,COL,2014
40.5,CHE,2014
39,JPN,2014
39.2,BTN,2014
38.3,CHN,2014
40.7,MKD,2014
39.5,KGZ,2014
40.5,TWN,2014
39,LTU,2014
39.6,SVK,2014
41.5,LKA,2014
39.1,ISL,2014
39.2,POL,2014
45.6,IDN,2014
41.2,MUS,2014
41.7,URY,2014
34.4,BHR,2014
38.1,BIH,2014
34.9,SEN,2014
35,AUS,2014
38.8,MLT,2014
42.6,BGD,2014
37.8,MYS,2014
38.6,LVA,2014
0,LBY,2014
36.5,BEL,2014
40.6,BLR,2014
42.8,TUN,2014
30.9,EST,2014
35.6,KOR,2014
32.9,BGR,2014
42.1,NPL,2014
35.7,CAN,2014
34.3,GEO,2014
33,CYP,2014
30.5,UKR,2014
32.9,KHM,2014
35.6,MNE,2014
28.8,COG,2014
33.2,SRB,2014
24.1,GAB,2014
36.3,AZE,2014
35.7,ETH,2014
35.1,PRY,2014
42.6,TUR,2014
41.9,PAK,2014
29.6,IRQ,2014
26.7,CMR,2014
0,MOZ,2014
28.2,GHA,2014
43.7,JOR,2014
